date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:03	174/174	---MCZ	200	added ('OK')	text/plain	date:Thu,%2001%20Aug%202024%2013:22:02%20GMT	https://www.healthcaredms.com/robots.txt		(from )
13:22:04	134160/134160	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:03%20GMT	https://www.healthcaredms.com/	D:/clones/h1/www.healthcaredms.com/index.html	(from )
13:22:06	161415/161415	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202023%2008:31:40%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/bootstrap.min.css?v=300420210904190731941	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/bootstrap.mina938.css	(from https://www.healthcaredms.com/)
13:22:08	92482/92482	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202023%2008:31:41%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/fontawesome.min.css?v=300420210904190731976	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/fontawesome.min8934.css	(from https://www.healthcaredms.com/)
13:22:09	2941/2941	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202023%2008:31:41%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/owl.carousel.min.css?v=300420210904190731987	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/owl.carousel.mind730.css	(from https://www.healthcaredms.com/)
13:22:10	25035/25035	---MCZ	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202023%2007:43:55%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/header.css?v=114320230743558390562	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/header9283.css	(from https://www.healthcaredms.com/)
13:22:12	28933/28933	---MCZ	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2011:00:15%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/style.css?v=260020231100159429605	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/stylec9f4.css	(from https://www.healthcaredms.com/)
13:22:14	79959/79959	---MCZ	200	added ('OK')	text/css	date:Thu,%2026%20Oct%202023%2010:50:35%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/inner.css?v=265020231050352907947	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/css/innerdb08.css	(from https://www.healthcaredms.com/)
13:22:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2001%20Aug%202024%2013:22:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/clones/h1/www.googletagmanager.com/gtm.65445.delayed	(from https://www.healthcaredms.com/)
13:22:16	2590/2590	---MCZ	200	added ('OK')	image/gif	date:Mon,%2003%20Apr%202023%2011:11:28%20GMT	https://cdn.openviowebsites.com/source/loader-circle.gif	D:/clones/h1/cdn.openviowebsites.com/source/loader-circle.gif	(from https://www.healthcaredms.com/)
13:22:18	67119/67119	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:18%20GMT	https://www.healthcaredms.com/about-us	D:/clones/h1/www.healthcaredms.com/about-us.html	(from https://www.healthcaredms.com/)
13:22:19	77835/77835	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:19%20GMT	https://www.healthcaredms.com/about-us/our-team	D:/clones/h1/www.healthcaredms.com/about-us/our-team.html	(from https://www.healthcaredms.com/)
13:22:20	93114/93114	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:20%20GMT	https://www.healthcaredms.com/healthcare-seo-agency	D:/clones/h1/www.healthcaredms.com/healthcare-seo-agency.html	(from https://www.healthcaredms.com/)
13:22:22	90778/90778	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:21%20GMT	https://www.healthcaredms.com/healthcare-ppc	D:/clones/h1/www.healthcaredms.com/healthcare-ppc.html	(from https://www.healthcaredms.com/)
13:22:23	110991/110991	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:23%20GMT	https://www.healthcaredms.com/website-design-and-development	D:/clones/h1/www.healthcaredms.com/website-design-and-development.html	(from https://www.healthcaredms.com/)
13:22:25	81825/81825	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:24%20GMT	https://www.healthcaredms.com/reputation-management	D:/clones/h1/www.healthcaredms.com/reputation-management.html	(from https://www.healthcaredms.com/)
13:22:27	78114/78114	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:26%20GMT	https://www.healthcaredms.com/social-media-marketing	D:/clones/h1/www.healthcaredms.com/social-media-marketing.html	(from https://www.healthcaredms.com/)
13:22:28	69314/69314	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:27%20GMT	https://www.healthcaredms.com/doctors	D:/clones/h1/www.healthcaredms.com/doctors.html	(from https://www.healthcaredms.com/)
13:22:30	70523/70523	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:28%20GMT	https://www.healthcaredms.com/digital-marketing-for-dentist	D:/clones/h1/www.healthcaredms.com/digital-marketing-for-dentist.html	(from https://www.healthcaredms.com/)
13:22:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Aug%202024%2013:22:31%20GMT	https://www.healthcaredms.com/hospitals-digital-marketing	D:/clones/h1/www.healthcaredms.com/hospitals-digital-marketing.11.delayed	(from https://www.healthcaredms.com/)
13:22:32	94059/94059	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:32%20GMT	https://www.healthcaredms.com/hospital-marketing-agency	D:/clones/h1/www.healthcaredms.com/hospital-marketing-agency.html	(from https://www.healthcaredms.com/)
13:22:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Aug%202024%2013:22:33%20GMT	https://www.healthcaredms.com/plastic-surgery	D:/clones/h1/www.healthcaredms.com/plastic-surgery.13.delayed	(from https://www.healthcaredms.com/)
13:22:34	61839/61839	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:34%20GMT	https://www.healthcaredms.com/plastic-surgery-marketing	D:/clones/h1/www.healthcaredms.com/plastic-surgery-marketing.html	(from https://www.healthcaredms.com/)
13:22:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Aug%202024%2013:22:35%20GMT	https://www.healthcaredms.com/chiropractic	D:/clones/h1/www.healthcaredms.com/chiropractic.15.delayed	(from https://www.healthcaredms.com/)
13:22:37	64451/64451	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:36%20GMT	https://www.healthcaredms.com/chiropractic-digital-marketing	D:/clones/h1/www.healthcaredms.com/chiropractic-digital-marketing.html	(from https://www.healthcaredms.com/)
13:22:38	63536/63536	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:37%20GMT	https://www.healthcaredms.com/orthopedic-marketing	D:/clones/h1/www.healthcaredms.com/orthopedic-marketing.html	(from https://www.healthcaredms.com/)
13:22:39	86630/86630	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:39%20GMT	https://www.healthcaredms.com/ivf-digital-marketing	D:/clones/h1/www.healthcaredms.com/ivf-digital-marketing.html	(from https://www.healthcaredms.com/)
13:22:40	80720/80720	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:40%20GMT	https://www.healthcaredms.com/ophthalmology-marketing	D:/clones/h1/www.healthcaredms.com/ophthalmology-marketing.html	(from https://www.healthcaredms.com/)
13:22:41	72303/72303	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:41%20GMT	https://www.healthcaredms.com/cardiology-practice-marketing	D:/clones/h1/www.healthcaredms.com/cardiology-practice-marketing.html	(from https://www.healthcaredms.com/)
13:22:44	74422/74422	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:43%20GMT	https://www.healthcaredms.com/blog	D:/clones/h1/www.healthcaredms.com/blog.html	(from https://www.healthcaredms.com/)
13:22:45	65433/65433	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:44%20GMT	https://www.healthcaredms.com/case-studies	D:/clones/h1/www.healthcaredms.com/case-studies.html	(from https://www.healthcaredms.com/)
13:22:46	70381/70381	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2013:22:45%20GMT	https://www.healthcaredms.com/contact-us	D:/clones/h1/www.healthcaredms.com/contact-us.html	(from https://www.healthcaredms.com/)
13:22:47	12323/12323	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2007:39:53%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/dr-allahbadia.jpg	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/dr-allahbadia.jpg	(from https://www.healthcaredms.com/)
13:22:48	19039/19039	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2004%20May%202023%2007:39:53%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/dr-lav.jpg	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/dr-lav.jpg	(from https://www.healthcaredms.com/)
13:22:50	20557/20557	---MCZ	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2008:32:21%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/personalized-healthcaredms-thumb1.png	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/personalized-healthcaredms-thumb1.png	(from https://www.healthcaredms.com/)
13:22:51	20886/20886	---MCZ	200	added ('OK')	image/png	date:Tue,%2026%20Sep%202023%2014:48:55%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/815c4ffe-4f12-4e53-8d9a-7122578b3fc1-who-whoose-healthcare-dms-thumb.png	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/815c4ffe-4f12-4e53-8d9a-7122578b3fc1-who-whoose-healthcare-dms-thumb.png	(from https://www.healthcaredms.com/)
13:22:52	3285/3285	---MCZ	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2008:32:24%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/reputation-management-solution-icon1.png	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/reputation-management-solution-icon1.png	(from https://www.healthcaredms.com/)
13:22:53	5576/5576	---MCZ	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2008:31:58%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/dedicated-account-manager-icon.png	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/dedicated-account-manager-icon.png	(from https://www.healthcaredms.com/)
13:22:54	4089/4089	---MCZ	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2008:32:14%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/netralayam-logo.png	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/netralayam-logo.png	(from https://www.healthcaredms.com/)
13:22:55	7004/7004	---MCZ	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2008:32:24%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/rotunda-logo.png	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/rotunda-logo.png	(from https://www.healthcaredms.com/)
13:22:56	4810/4810	---MCZ	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2008:32:30%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/vardhan-logo.png	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/vardhan-logo.png	(from https://www.healthcaredms.com/)
13:22:57	10697/10697	---MCZ	200	added ('OK')	image/png	date:Tue,%2020%20Jun%202023%2012:19:16%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/meeraz-clinic.png	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/meeraz-clinic.png	(from https://www.healthcaredms.com/)
13:22:58	19360/19360	---MCZ	200	added ('OK')	image/png	date:Tue,%2020%20Jun%202023%2012:19:17%20GMT	https://cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/nexen-healthcare.png	D:/clones/h1/cdn.openviowebsites.com/source/sites/cb9be165-52e4-4095-805e-bd230f69c5bc/images/nexen-healthcare.png	(from https://www.healthcaredms.com/)
